,Title,User Rank,User Rating,Popularity Ranking,Episode Count,Episode Runtime,Airdate,Time to Watch,Studios,Genres,Status
36,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,#37,8.731,"229,337",4,30 min. per ep.,"Feb 20, 1999 to Sep 22, 1999","2 hours, 0 minutes",['Studio Deen'],"['Action', 'Historical', 'Drama', 'Romance', 'Martial Arts', 'Samurai', 'Shounen']",Finished Airing
37,Haikyuu!! Second Season,#38,8.731,"886,969",25,24 min. per ep.,"Oct 4, 2015 to Mar 27, 2016","10 hours, 0 minutes",['Production I.G'],"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",Finished Airing
38,Code Geass: Hangyaku no Lelouch,#18,8.911,"1,280,221",25,24 min. per ep.,"Apr 6, 2008 to Sep 28, 2008","10 hours, 0 minutes",['Sunrise'],"['Action', 'Military', 'Sci-Fi', 'Super Power', 'Drama', 'Mecha']",Finished Airing
39,Kimetsu no Yaiba Movie: Mugen Ressha-hen,#40,8.721,"348,223",1,1 hr. 57 min.,"Oct 16, 2020","1 hour, 57 minutes",['ufotable'],"['Action', 'Historical', 'Demons', 'Supernatural', 'Shounen']",Finished Airing
40,Mononoke Hime,#41,8.721,"882,677",1,2 hr. 15 min.,"Jul 12, 1997","2 hours, 15 minutes",['Studio Ghibli'],"['Action', 'Adventure', 'Fantasy']",Finished Airing
41,Mushishi Zoku Shou,#42,8.721,"228,731",10,24 min. per ep.,"Apr 5, 2014 to Jun 21, 2014","4 hours, 0 minutes",['Artland'],"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",Finished Airing
42,Vinland Saga,#43,8.711,"680,516",24,24 min. per ep.,"Jul 8, 2019 to Dec 30, 2019","9 hours, 36 minutes",['Wit Studio'],"['Action', 'Adventure', 'Drama', 'Historical', 'Seinen']",Finished Airing
43,Great Teacher Onizuka,#44,8.701,"592,496",43,25 min. per ep.,"Jun 30, 1999 to Sep 17, 2000","17 hours, 55 minutes",['Studio Pierrot'],"['Slice of Life', 'Comedy', 'Drama', 'School', 'Shounen']",Finished Airing
44,Mushishi,#45,8.691,"623,025",26,25 min. per ep.,"Oct 23, 2005 to Jun 19, 2006","10 hours, 50 minutes",['Artland'],"['Adventure', 'Slice of Life', 'Mystery', 'Historical', 'Supernatural', 'Fantasy', 'Seinen']",Finished Airing
45,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,#46,8.681,"368,094",1,1 hr. 30 min.,"Jun 15, 2019","1 hour, 30 minutes",['CloverWorks'],"['Supernatural', 'Drama', 'Romance', 'School']",Finished Airing
46,Natsume Yuujinchou Shi,#47,8.671,"194,073",13,24 min. per ep.,"Jan 3, 2012 to Mar 27, 2012","5 hours, 12 minutes","[""Brain's Base""]","['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",Finished Airing
47,Ashita no Joe 2,#48,8.671,"30,614",47,24 min. per ep.,"Oct 13, 1980 to Aug 31, 1981","18 hours, 48 minutes",['Tokyo Movie Shinsha'],"['Action', 'Drama', 'Shounen', 'Slice of Life', 'Sports']",Finished Airing
48,Hajime no Ippo: New Challenger,#49,8.671,"203,118",26,23 min. per ep.,"Jan 7, 2009 to Jul 1, 2009","9 hours, 58 minutes",['Madhouse'],"['Comedy', 'Sports', 'Drama', 'Shounen']",Finished Airing
49,Howl no Ugoku Shiro,#50,8.671,"859,002",1,1 hr. 59 min.,"Nov 20, 2004","1 hour, 59 minutes",['Studio Ghibli'],"['Adventure', 'Drama', 'Fantasy', 'Romance']",Finished Airing
